MSOA_code,Households
E02002249,2360
E02002250,3419
E02002251,3653
E02002252,2430
E02002253,2772
E02002254,2352
E02002255,2316
E02002256,3812
E02002257,2067
E02002258,3356
E02002259,2543
E02002260,3751
E02002261,3243
E02002262,3447
E02002263,2540
E02002264,2675
E02002265,2338
E02002266,2468
E02002267,3160
E02002268,3970
E02002269,3694
E02002270,2950
E02002271,2792
E02002272,4057
E02002273,2488
E02002274,2434
E02002275,3469
E02002276,2837
E02002277,2452
E02002278,2454
E02002279,2540
E02002280,2131
E02002281,3975
E02002282,2305
E02002283,2443
E02002284,2556
E02002285,3077
E02002286,2235
E02002287,2195
E02002288,3507
E02002289,2068
E02002290,2546
E02002291,2512
E02002292,2224
E02002293,2475
E02002294,2930
E02002295,2602
E02002296,2723
E02002297,2522
E02002298,2812
E02002299,2570
E02002300,2552
E02002301,2356
E02002302,2223
E02002303,2597
E02002304,2843
E02002305,2508
E02002306,2473
E02002307,2516
E02002308,2580
E02002309,2567
E02002310,2469
E02002311,2578
E02002312,2626
E02002313,2315
E02002314,2504
E02002315,2786
E02002316,2525
E02002317,2765
E02002318,2804
E02002319,2683
E02002320,2748
E02002321,2294
E02002322,2564
E02002323,3360
E02002324,2526
E02002325,3257
E02002326,2358
E02002327,3599
E02002328,2658
E02002329,4472
E02002330,2803
E02002331,2386
E02002332,2506
E02002333,3523
E02002334,3033
E02002335,3021
E02002336,2579
E02002337,2318
E02002338,2559
E02002339,2655
E02002340,2486
E02002341,2998
E02002342,2614
E02002343,2379
E02002344,3301
E02002345,2488
E02002346,2732
E02002347,2666
E02002348,2686
E02002349,2410
E02002350,2360
E02002351,2196
E02002352,3081
E02002353,2257
E02002354,3231
E02002355,2468
E02002356,3148
E02002357,3349
E02002358,3156
E02002359,2629
E02002360,2583
E02002361,2388
E02002362,3441
E02002363,2852
E02002364,2626
E02002365,2774
E02002366,2865
E02002367,2486
E02002368,3166
E02002369,3184
E02002370,2802
E02002371,3148
E02002372,3098
E02002373,2467
E02002374,2840
E02002375,2269
E02002376,2292
E02002377,2029
E02002378,2428
E02002379,2294
E02002380,2418
E02002381,2585
E02002382,2368
E02002383,2391
E02002384,4352
E02002385,3263
E02002386,3865
E02002387,2404
E02002388,3067
E02002389,2761
E02002390,2446
E02002391,3355
E02002392,2665
E02002393,3178
E02002394,2990
E02002395,2445
E02002396,3611
E02002397,3009
E02002398,3231
E02002399,2509
E02002400,3301
E02002401,2398
E02002402,2402
E02002403,2523
E02002404,2820
E02002405,3185
E02002406,2890
E02002407,2756
E02002408,3061
E02002409,2634
E02002410,2680
E02002411,2977
E02002412,2568
E02002413,3170
E02002414,2542
E02002415,2293
E02002416,2670
E02002417,2383
E02002418,2974
E02002419,3383
E02002420,3176
E02002421,2586
E02002422,2363
E02002423,2443
E02002424,3090
E02002425,3249
E02002426,3119
E02002427,3046
E02002428,2597
E02002429,3120
E02002430,2982
E02002431,3225
E02002432,2736
E02002433,2803
E02002434,2491
E02002435,2930
E02002436,2775
E02002437,2300
E02002438,3253
E02002439,3606
E02002440,3186
E02002441,3369
E02002442,2354
E02002443,2262
E02002444,2488
E02002445,3019
E02002446,2561
E02002447,2540
E02002448,3170
E02002449,2989
E02002450,2439
E02002451,3047
E02002452,3376
E02002453,3867
E02002454,2787
E02002455,2477
E02002456,2450
E02002457,3296
E02002458,3594
E02002459,3705
E02002460,3133
E02002461,3590
E02002462,3155
E02002463,3636
E02002464,3492
E02002465,2646
E02002466,3918
E02002467,3271
E02002468,2549
E02002469,2400
E02002470,2592
E02002471,4019
E02002472,2295
E02002473,2637
E02002474,2592
E02002475,2215
E02002476,2488
E02002477,2353
E02002478,2412
E02002479,3327
E02002480,2653
E02002481,2450
E02002482,2554
E02002652,2796
E02002653,3553
E02002654,3231
E02002655,3145
E02002656,2519
